id,versions,priority,impact,evidence,status,checkpoint,local_action_or_result,vehicle_dependency
BASE-01,原版及所有后续,P1,全局壁纸回调保留销毁页面,MainActivity.onCreate/onDestroy; o/ak.ͳ(Bitmap),LOCAL_PASS_PENDING_VEHICLE,base01_r2,最终包差异/六项分支用例通过,实车重建/内存
BUILD-01,本轮 BASE-01 r1,P1,复制脚本误排嵌套 build 元数据,stability_base01_patch_20260905.py,FIXED_LOCAL,base01_r2,6702 文件保留，r1 保留失败记录,无
BASE-02,原版及所有后续,P1,销毁未接入壁纸 Adapter 线程池关闭,MainActivity.onDestroy; o/ak.onDetachedFromRecyclerView,LOCAL_PASS_PENDING_VEHICLE,base02_r1,解除 Adapter/取消其 Handler；用例和最终包差异通过,实际线程/媒体资源；晚到任务另列 BASE-04
BASE-03,原版及所有后续,P1,视频封面异常时 native Retriever 未释放,o/sj.run selector=0,LOCAL_PASS_PENDING_VEHICLE,base03_r1,源码/最终包7项Retriever异常分支通过；最终差异仅单selector+helper，payload对齐nop已核对,真实文件解码/native资源
BASE-04,原版及所有后续,P1,销毁后后台解码仍可投递旧 View/全局封面,o/sj.run selector=0; o/j9.run selector=1; o/y7.run,LOCAL_PASS_PENDING_VEHICLE,base04_r1,图片/视频统一主线程结果投递；源码/最终包14项结果用例、销毁/空数据守卫、8项前序回归通过；7文件白名单和最终差异通过,前后台重建/快切壁纸
V2-01,V2；V3残留,P0,原状态栏禁用/失效反射与重挂,NavBarService.Ϡ/attachStatusBarToMainActivity; MainActivity.onResume,NOT_IMPORTED_IN_BASE_BRANCH,,基线分支保留原架构；并非V2功能已修复,状态栏更新/合成/触摸
V2-02,V2至V3.11,P0,原车辆信息布局契约破坏,vehicle_control_panel; o/oj inflate使用方,NOT_IMPORTED_IN_BASE_BRANCH,,恢复分支保留原布局；新增空调待独立布局,打开旧页面不点击车控
V2-03,V2至V3.11,P1,设置窗口只隐藏未移除,WallpaperRotationOptionListener.onClick(View); o/vl,STATIC_CONFIRMED,,待接窗口所有者关闭,设置循环20次
V2-04,V2至V3.11,P1,模式键前置强拦截绕过配置,NavBarService.onKeyEvent,STATIC_CONFIRMED,,待保留用户开关和映射顺序,四种模式键配置
V2-05,V2至V3.11,P1,面板多入口叠窗/静态Dialog残留,AirControlPanel; ModeKeyReceiver; NavBarService,STATIC_CONFIRMED,,待服务实例所有权/来源约束/去重,仅开关面板，不操作车控
V2-06,V2至V3.11,P1,轮播任务未随Activity停止,WallpaperAutoRotateRunnable; MainActivity,STATIC_CONFIRMED,,待统一可取消调度与可见性,轮播/后台/重建
V2-07,V2至V3.11,P2,目录策略不一致及残留设置实现,WallpaperDirectoryResolver; MainActivity; o/y7/o/uk,STATIC_CONFIRMED,,待统一有效壁纸目录策略,实际存储权限/视频壁纸
